galaxy,time (Gyr),ptype,count,Particle type
M31,0.0,1,111926,Halo
M31,0.0,3,826,Bulge
M31,1.42856994628906,1,71757,Halo
M31,1.42856994628906,3,715,Bulge
M31,2.85713989257812,1,61687,Halo
M31,2.85713989257812,3,546,Bulge
M31,3.95713989257812,1,138472,Halo
M31,3.95713989257812,2,5320,Disk
M31,3.95713989257812,3,2927,Bulge
M31,4.7857099609375,1,83194,Halo
M31,4.7857099609375,3,1217,Bulge
M31,5.7142900390625,1,95789,Halo
M31,5.7142900390625,2,1041,Disk
M31,5.7142900390625,3,2117,Bulge
M33,0.0,1,5793,Halo
M33,1.42856994628906,1,5205,Halo
M33,2.85713989257812,1,7805,Halo
M33,3.95713989257812,1,24476,Halo
M33,3.95713989257812,2,2,Disk
M33,4.7857099609375,1,16953,Halo
M33,4.7857099609375,2,62,Disk
M33,5.7142900390625,1,10248,Halo
M33,5.7142900390625,2,490,Disk
MW ,0.0,1,18010,Halo
MW ,0.0,3,25,Bulge
MW ,1.42856994628906,1,22256,Halo
MW ,1.42856994628906,3,27,Bulge
MW ,2.85713989257812,1,42917,Halo
MW ,2.85713989257812,3,107,Bulge
MW ,3.95713989257812,1,116728,Halo
MW ,3.95713989257812,2,391,Disk
MW ,3.95713989257812,3,764,Bulge
MW ,4.7857099609375,1,107231,Halo
MW ,4.7857099609375,2,490,Disk
MW ,4.7857099609375,3,505,Bulge
MW ,5.7142900390625,1,157821,Halo
MW ,5.7142900390625,2,7468,Disk
MW ,5.7142900390625,3,1269,Bulge
